date_id,year,month,day,quarter
0,2018,12,31,4
1,2019,1,7,1
2,2019,1,14,1
3,2019,2,4,1
4,2019,2,11,1
5,2019,2,18,1
6,2019,2,25,1
7,2019,3,4,1
8,2019,3,18,1
9,2019,4,8,2
10,2019,4,15,2
11,2019,4,22,2
12,2019,4,29,2
13,2019,5,6,2
14,2019,5,13,2
15,2019,5,20,2
16,2019,5,27,2
17,2019,6,10,2
18,2019,6,17,2
19,2019,6,24,2
20,2019,7,1,3
21,2019,7,15,3
22,2019,7,22,3
23,2019,7,29,3
24,2019,8,5,3
25,2019,8,12,3
26,2019,8,19,3
27,2019,8,26,3
28,2019,9,16,3
29,2019,9,23,3
30,2019,9,30,3
31,2019,10,7,4
32,2019,10,14,4
33,2019,10,21,4
34,2019,10,28,4
35,2019,11,11,4
36,2019,11,19,4
37,2019,11,21,4
38,2019,11,20,4
39,2019,11,18,4
40,2019,11,22,4
41,2019,11,24,4
42,2019,11,23,4
43,2019,9,13,3
44,2019,9,14,3
45,2019,4,5,2
46,2019,2,1,1
47,2018,1,1,1
48,2018,1,8,1
49,2018,1,15,1
50,2018,2,2,1
51,2018,2,3,1
52,2018,2,5,1
53,2018,2,12,1
54,2018,2,19,1
55,2018,2,26,1
56,2018,3,5,1
57,2018,3,19,1
58,2018,4,6,2
59,2018,4,7,2
60,2018,4,9,2
61,2018,4,16,2
62,2018,4,23,2
63,2018,4,30,2
64,2018,5,7,2
65,2018,5,14,2
66,2018,5,21,2
67,2018,5,28,2
68,2018,6,11,2
69,2018,6,18,2
70,2018,6,25,2
71,2018,7,2,3
72,2018,7,16,3
73,2018,7,23,3
74,2018,7,30,3
75,2018,8,6,3
76,2018,8,13,3
77,2018,8,20,3
78,2018,8,27,3
79,2018,9,14,3
80,2018,9,15,3
81,2018,9,17,3
82,2018,9,24,3
83,2018,10,1,4
84,2018,10,8,4
85,2018,10,15,4
86,2018,10,22,4
87,2018,10,29,4
88,2018,11,5,4
89,2018,11,12,4
90,2018,11,23,4
91,2017,11,13,4
92,2017,11,6,4
93,2017,9,4,3
94,2017,11,20,4
95,2017,5,22,2
96,2017,5,29,2
97,2017,9,11,3
98,2017,10,2,4
99,2017,10,9,4
100,2017,2,13,1
101,2017,1,30,1
102,2017,2,20,1
103,2017,2,6,1
104,2017,2,27,1
105,2017,3,6,1
106,2017,3,20,1
107,2017,3,27,1
108,2017,10,30,4
109,2017,9,18,3
110,2017,9,25,3
111,2017,8,7,3
112,2017,8,14,3
113,2017,7,17,3
114,2017,7,10,3
115,2017,6,26,2
116,2017,8,21,3
117,2017,8,28,3
118,2017,6,5,2
119,2017,6,12,2
120,2017,4,3,2
121,2017,7,24,3
122,2017,11,27,4
123,2017,6,19,2
124,2017,10,23,4
125,2017,12,4,4
126,2017,3,13,1
127,2017,4,24,2
128,2017,4,10,2
129,2017,5,8,2
130,2017,5,15,2
131,2017,7,3,3
132,2017,10,16,4
133,2017,1,16,1
134,2017,1,23,1
135,2017,4,17,2
136,2017,5,1,2
137,2017,7,31,3
138,2017,1,9,1
139,2017,1,2,1
140,2017,12,11,4
141,2017,12,25,4
142,2017,12,18,4
143,2016,11,14,4
144,2016,9,5,3
145,2016,11,21,4
146,2016,5,2,2
147,2016,10,17,4
148,2016,5,30,2
149,2016,7,4,3
150,2016,9,12,3
151,2016,10,24,4
152,2016,11,7,4
153,2016,9,19,3
154,2016,5,9,2
155,2016,12,12,4
156,2016,2,1,1
157,2016,4,25,2
158,2016,6,6,2
159,2016,7,18,3
160,2016,8,1,3
161,2016,8,15,3
162,2016,8,22,3
163,2016,8,29,3
164,2016,6,20,2
165,2016,7,11,3
166,2016,7,25,3
167,2016,12,5,4
168,2016,3,21,1
169,2016,3,28,1
170,2016,4,4,2
171,2016,4,11,2
172,2016,4,18,2
173,2016,9,26,3
174,2016,10,3,4
175,2016,6,13,2
176,2016,2,29,1
177,2016,3,7,1
178,2016,3,14,1
179,2016,10,31,4
180,2016,5,16,2
181,2016,10,10,4
182,2016,1,11,1
183,2016,1,18,1
184,2016,1,25,1
185,2016,2,8,1
186,2016,2,15,1
187,2016,2,22,1
188,2016,6,27,2
189,2016,8,8,3
190,2016,11,28,4
191,2016,5,23,2
192,2016,12,19,4
193,2016,1,4,1
194,2020,1,6,1
195,2020,1,13,1
196,2020,1,20,1
197,2020,2,3,1
198,2020,2,10,1
199,2020,2,17,1
200,2020,2,24,1
201,2020,8,24,3
202,2020,8,31,3
203,2020,9,7,3
204,2020,9,14,3
205,2020,9,21,3
206,2020,9,28,3
207,2020,10,12,4
208,2020,10,19,4
209,2020,10,26,4
210,2020,11,2,4
211,2020,11,9,4
212,2020,11,16,4
213,2020,3,6,1
214,2021,1,4,1
215,2021,1,5,1
216,2021,2,1,1
217,2021,2,2,1
218,2021,2,8,1
219,2021,2,22,1
220,2021,3,1,1
221,2021,3,8,1
222,2021,3,15,1
223,2021,3,22,1
224,2021,4,5,2
225,2021,4,12,2
226,2021,4,19,2
227,2021,4,26,2
228,2021,5,3,2
229,2021,5,10,2
230,2021,5,17,2
231,2021,5,24,2
232,2021,5,31,2
233,2021,6,7,2
234,2021,6,14,2
235,2021,6,21,2
236,2021,6,28,2
237,2021,7,12,3
238,2021,7,19,3
239,2021,7,26,3
240,2021,7,24,3
241,2021,8,2,3
242,2021,8,9,3
243,2021,8,16,3
244,2021,8,23,3
245,2017,10,31,4
246,2017,2,9,1
247,2017,2,10,1
248,2017,2,11,1
249,2017,7,20,3
250,2017,7,21,3
251,2017,7,19,3
252,2017,7,22,3
253,2017,4,21,2
254,2017,4,22,2
255,2017,11,11,4
256,2016,2,3,1
257,2016,2,4,1
258,2016,2,5,1
259,2016,2,6,1
260,2016,2,2,1
261,2016,4,12,2
262,2016,4,15,2
263,2016,4,13,2
264,2016,4,14,2
265,2016,4,16,2
266,2016,11,12,4
267,2018,9,10,3
268,2018,4,2,2
269,2018,1,29,1
270,2018,2,9,1
271,2018,2,8,1
272,2018,2,7,1
273,2018,2,10,1
274,2018,6,20,2
275,2018,6,21,2
276,2018,6,22,2
277,2018,6,23,2
278,2018,7,19,3
279,2018,7,20,3
280,2018,7,18,3
281,2018,7,21,3
282,2018,2,6,1
283,2018,4,18,2
284,2018,4,20,2
285,2018,4,19,2
286,2018,4,21,2
287,2018,11,10,4
288,2020,1,27,1
289,2020,3,2,1
290,2020,3,9,1
291,2020,8,17,3
292,2020,10,5,4
293,2020,11,23,4
294,2020,11,30,4
295,2021,1,10,1
296,2021,1,17,1
297,2021,1,24,1
298,2021,1,31,1
299,2021,2,7,1
300,2021,2,14,1
301,2021,3,29,1
302,2021,7,5,3
303,2019,9,9,3
304,2019,4,1,2
305,2019,12,16,4
306,2019,10,22,4
307,2019,1,28,1
308,2019,6,3,2
309,2019,1,21,1
310,2019,2,8,1
311,2019,2,6,1
312,2019,2,7,1
313,2019,2,9,1
314,2019,4,18,2
315,2019,4,19,2
316,2019,4,17,2
317,2019,4,20,2
318,2019,4,16,2
319,2019,11,9,4
320,2021,1,6,1
321,2021,2,3,1
322,2021,2,13,1
323,2021,3,7,1
324,2021,4,29,2
325,2021,4,17,2
326,2019,7,8,3
327,2019,11,4,4
328,2019,9,2,3
329,2019,3,25,1
330,2019,3,11,1
331,2018,3,26,1
332,2018,7,9,3
333,2018,6,4,2
334,2018,9,3,3
335,2018,1,22,1
336,2018,3,12,1
337,2018,11,19,4
338,2020,8,3,3
339,2020,8,10,3
340,2020,2,5,1
341,2020,2,7,1
342,2020,2,6,1
343,2020,2,8,1
344,2020,3,4,1
345,2020,3,3,1
346,2020,3,7,1
347,2020,3,5,1
348,2020,2,4,1
349,2018,6,5,2
350,2018,12,3,4
351,2018,11,26,4
352,2018,12,10,4
353,2018,12,17,4
354,2019,11,25,4
355,2019,12,2,4
356,2019,12,9,4
357,2019,12,30,4
358,2016,3,4,1
359,2016,7,15,3
360,2016,9,16,3
361,2016,11,25,4
362,2017,2,3,1
363,2017,2,17,1
364,2017,4,7,2
365,2017,9,15,3
366,2017,11,24,4
367,2021,1,11,1
368,2021,1,18,1
369,2021,1,25,1
370,2021,2,15,1
371,2020,12,7,4
372,2020,12,14,4
373,2020,12,21,4
374,2020,12,28,4
